CAS,Name,Molecular Formulae,Molecular Weight
107-87-9,2-pentanone,CH3CO(CH2)2CH3,86.1323
591-78-6,2-hexanone,CH3COCH2CH2CH2CH3,100.1589
110-43-0,2-heptanone,CH3CO(CH2)4CH3,114.1855
110-12-3,5-methyl-2-hexanone,CH3CO(CH2)2CH(CH3)2,114.1855
75-97-8,"3,3-dimethyl-2-butanone",(CH3)3CCOCH3,100.1589
108-83-8,Diisobutyl ketone,(CH3)2CHCH2COCH2CH(CH3)2,142.2386
565-80-0,Diisopropyl ketone,(CH3)2CHCOCH(CH3)2,114.1855
123-38-6,Propanal,CH3CH2CHO,58.07914
123-72-8,Butanal,CH3CH2CH2CHO,72.10572
110-62-3,Pentanal,CH3(CH2)3CHO,86.1323
66-25-1,Hexanal,CH3(CH2)4CHO,100.1589
111-71-7,Heptanal,CH3(CH2)5CHO,114.1855
108-20-3,Diisopropyl ether,CH3CH(CH3)OCH(CH3)CH3,102.1748
142-96-1,Di-n-butyl ether,(C4H9)2O,130.2279
6863-58-7,Di-sec-butyl ether,C2H5(CH3)CHOCH(CH3)C2H5,130.2279
540-67-0,Methyl ethyl ether,CH3CH2OCH3,60.09502
557-17-5,Methyl n-propyl ether,CH3OCH2CH2CH3,74.1216
1860-27-1,Isopropyl butyl ether,C4H9OCH(CH3)2,116.2013
625-44-5,Methyl isobutyl ether,CH3OCH2CH(CH3)CH3,88.14818
598-53-8,Methyl isopropyl ether,CH3OCH(CH3)2,74.1216
637-92-3,Tert-butyl ethyl ether,(CH3)3COCH2CH3,102.1748
919-94-8,Ethyl tert-pentyl ether,C2H5C(CH3)2OC2H5,116.2013
111-34-2,Butyl vinyl ether,C4H9OCHCH2,100.1589
100-66-3,Anisole,C6H5OCH3,108.1378
108-21-4,Isopropyl acetate,CH3COOCH(CH3)2,102.1317
123-86-4,N-butyl acetate,CH3COO(CH2)3CH3,116.1583
110-19-0,Isobutyl acetate,CH3COOCH2CH(CH3)2,116.1583
628-63-7,N-pentyl acetate,CH3COOCH2(CH2)3CH3,130.1849
108-05-4,Vinyl acetate,CH3COOCHCH2,86.08924
142-92-7,N-hexyl acetate,CH3COOCH2(CH2)4CH3,144.2114
71-41-0,1-pentanol,CH3(CH2)4OH,88.14818
6032-29-7,2-pentanol,CH3(CH2)2CH(OH)CH3,88.14818
137-32-6,2-methyl-1-butanol,CH3CH2CH(CH3)CH2OH,88.14818
75-84-3,"2,2-dimethyl-1-propanol",(CH3)3CCH2OH,88.14818
111-27-3,1-hexanol,CH3(CH2)5OH,102.1748
111-70-6,1-heptanol,CH3(CH2)6OH,116.2013
110-63-4,"1,4-butanediol",HO(CH2)4OH,90.121
74-93-1,Methyl mercaptan,CH3SH,48.10746
107-03-9,N-propyl mercaptan,CH3CH2CH2SH,76.16061
75-66-1,Tert-butyl mercaptan,C(CH3)3SH,90.18719
513-44-0,Isobutyl mercaptan,(CH3)2CHCH2SH,90.18719
513-53-1,Sec-butyl mercaptan,CH3CH2CH(SH)CH3,90.18719
111-31-9,N-hexyl mercaptan,CH3(CH2)5SH,118.2404
624-89-5,Methyl ethyl sulfide,CH3SC2H5,76.16061
3877-15-4,Methyl n-propyl sulfide,CH3SCH2CH2CH3,90.18719
6163-64-0,Methyl t-butyl sulfide,CH3SC(CH3)3,104.2138
13286-92-5,Methyl t-pentyl sulfide,CH3SC(CH3)(CH3)C2H5,118.2404
111-47-7,Di-n-propyl sulfide,CH3CH2CH2SCH2CH2CH3,118.2404
352-93-2,Diethyl sulfide,CH3CH2SCH2CH3,90.18719
110-81-6,Diethyl disulfide,C2H5SSC2H5,122.2522
624-92-0,Dimethyl disulfide,CH3SSCH3,94.19904
629-19-6,Di-n-propyl disulfide,CH3CH2CH2SSCH2CH2CH3,150.3054
110-06-5,Di-tert-butyl disulfide,(CH3)3CS2C(CH3)3,178.3585
20333-39-5,Ethyl methyl disulfide,CH3CH2SSCH3,108.2256
30453-31-7,Ethyl propyl disulfide,CH3(CH2)2SSCH2CH3,136.2788
882-33-7,Diphenyl disulfide,(C6H5)SS(C6H5),218.3378
141-43-5,Monoethanolamine,HOCH2CH2NH2,61.08308
111-42-2,Diethanolamine,(HOCH2CH2)2NH,105.1356
102-71-6,Triethanolamine,(HOCH2CH2)3N,149.1882
107-15-3,Ethylenediamine,H2NCH2CH2NH2,60.09832
108-18-9,Diisopropylamine,((CH3)2CH)2NH,101.19
140-31-8,N-aminoethyl piperazine,H2NC2H4(NCH2CH2NHCH2CH2),129.2034
111-40-0,Diethylenetriamine,(H2NCH2CH2)2NH,103.1661
111-41-1,N-aminoethyl ethanolamine,H2NCH2CH2NHCH2CH2OH,104.1509
106-50-3,P-phenylenediamine,(C6H4)(NH2)2,108.1411
110-85-0,Piperazine,-NHCH2CH2NHCH2CH2-,86.1356
109-83-1,Methylethanolamine,CH3NHCH2CH2OH,75.10966
108-01-0,Dimethylethanolamine,HOCH2CH2N(CH3)2,89.13624
75-52-5,Nitromethane,CH3NO2,61.04002
79-24-3,Nitroethane,CH3CH2NO2,75.0666
108-03-2,1-nitropropane,CH3CH2CH2NO2,89.09318
79-46-9,2-nitropropane,CH3CH(NO2)CH3,89.09318
627-05-4,1-nitrobutane,CH3(CH2)3NO2,103.1198
88-72-2,O-nitrotoluene,C6H4(NO2)(CH3),137.136
99-99-0,P-nitrotoluene,C6H4(NO2)(CH3),137.136
99-08-1,M-nitrotoluene,C6H4(NO2)(CH3),137.136
121-14-2,"2,4-dinitrotoluene",CH3(C6H3)(NO2)2,182.1335
606-20-2,"2,6-dinitrotoluene",CH3(C6H3)(NO2)2,182.1335
610-39-9,"3,4-dinitrotoluene",CH3(C6H3)(NO2)2,182.1335
619-15-8,"2,5-dinitrotoluene",CH3(C6H3)(NO2)2,182.1335
618-85-9,"3,5-dinitrotoluene",CH3(C6H3)(NO2)2,182.1335
118-96-7,"2,4,6-trinitrotoluene",(CH3)C6H2(NO2)3,227.1311
144-62-7,Oxalic acid,HOOCCOOH,90.03488
79-10-7,Acrylic acid,CH2CHCOOH,72.06266
79-41-4,Methacrylic acid,CH2C(CH3)COOH,86.08924
65-85-0,Benzoic acid,(C6H5)COOH,122.1213
118-90-1,O-toluic acid,CH3(C6H4)COOH,136.1479
